,Feature,Linear Regression,Lasso,Random Forest,0_x,0_y
0,lag_covar,0.5626642144216636,0.5302685802377524,0.7421582441885645,0.3319281404872891,0.67382884
1,lag_gdp_growth,0.0020086448944612,0.0,0.0164181993994776,0.0,0.0144727975
2,lag_leverage,0.0033695051148415,-0.0,0.0053328816359728,0.0083854181509013,0.014843424
3,lag_market_return,-0.044897564957488,-0.0021190309973191,0.0295384250497369,0.0,0.0121822385
4,lag_roa,-0.0088781051587425,0.0,0.0055282079854903,0.0056810486955509,0.0049202177
5,lag_size,0.011433969376254,0.0047280664277012,0.0928847103529399,0.0185112703950289,0.06318738
6,lag_t_bill_delta,-0.0057826584609901,0.0,0.0211127932028954,0.0,0.0039311154
7,lag_ted_spread,0.0367376995941773,0.0,0.0570883112708654,0.0,0.014493774
8,lag_var,-0.0185892547504766,-0.0,0.0084202138670968,0.0068547897948633,0.048442684
9,lag_vix,-0.0838236746046404,-0.0190889945926515,0.02151801304696,0.0,0.06851225
